tracker_id,call_id,tracker_name,tracker_category,mention_count
1,1,Technical - Data Migration Plan,Technical,3
2,1,Pricing - Requested Quote,Pricing,5
3,1,Technical - Performance Requirements,Technical,1
4,1,Objection - Switching Cost,Objection,4
5,4,Risk - Competitor Evaluation,Risk,4
6,4,Competitor - CompetitorE,Competitor,6
7,4,Risk - Champion Leaving,Risk,1
8,4,Pricing - Volume Discount,Pricing,3
9,7,Pricing - Volume Discount,Pricing,1
10,7,Security - Data Residency,Security,6
11,7,Competitor - CompetitorE,Competitor,6
12,9,Technical - API Integration,Technical,2
13,9,Discount - Competitive Match,Discount,3
14,9,Risk - Budget Freeze,Risk,4
15,9,Competitor - CompetitorC,Competitor,2
16,11,Competitor - Open Source Alternative,Competitor,3
17,11,Security - SSO Requirement,Security,3
18,14,Pricing - Enterprise Tier,Pricing,7
19,14,Budget - Reallocating Funds,Budget,5
20,14,Procurement Process Started,Buying Signal,3
21,14,Competitor - Open Source Alternative,Competitor,8
22,14,Security - SSO Requirement,Security,4
23,16,Objection - Team Adoption Concern,Objection,8
24,17,Security - SOC2 Compliance,Security,3
25,17,Competitor - CompetitorA,Competitor,-1
26,17,Procurement Process Started,Buying Signal,4
27,17,Budget - Needs Approval,Budget,6
28,19,Decision Maker Involved,Buying Signal,8
29,19,Next Steps Discussed,Buying Signal,2
30,19,Procurement Process Started,Buying Signal,5
31,19,Security - SSO Requirement,Security,1
32,20,,,7
33,23,Risk - Champion Leaving,Risk,6
34,23,Risk - No Decision Likely,Risk,4
35,23,Security - SOC2 Compliance,Security,7
36,23,Competitor - CompetitorE,Competitor,2
37,23,POC Requested,Buying Signal,6
38,24,Technical - Performance Requirements,Technical,5
39,24,Discount - Competitive Match,Discount,8
40,24,Risk - Champion Leaving,Risk,7
41,24,Technical - Custom Workflow Needs,Technical,7
42,24,Competitor - Open Source Alternative,Competitor,3
43,24,Pricing - Compared to Competitor,Pricing,8
44,28,Discount - End of Quarter,Discount,6
45,28,Pricing - Volume Discount,Pricing,8
46,29,Pricing - Requested Quote,Pricing,4
47,29,Technical - SSO / SAML Setup,Technical,1
48,29,Discount - Competitive Match,Discount,2
49,29,Competitor - CompetitorA,Competitor,1
50,29,Risk - Budget Freeze,Risk,6
