call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
1,4361,6,2023-07-31T12:45:00,26,Outbound,Discovery,Completed,6,0.64,218,2,False
2,2615,15,2024-12-19T15:15:00,58,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
3,42,9,2023-08-14T15:00:00,23,Outbound,Technical Deep Dive,Completed,2,0.42,210,11,False
4,1962,8,2023-08-24T15:15:00,47,Outbound,Technical Deep Dive,Completed,7,0.6,205,6,True
5,143,11,2024-10-05T13:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
6,1491,9,2024-12-31T13:15:00,-38,Outbound,QBR,Completed,6,0.64,63,18,True
7,4804,14,2024-08-08T13:15:00,29,Inbound,Follow-Up,Completed,8,0.61,79,4,True
8,4421,4,2024-09-03T14:00:00,2,Inbound,Demo,Voicemail,1,,,0,False
9,2497,11,2023-11-01T14:45:00,15,Inbound,Demo,Completed,8,0.66,68,9,False
10,1931,1,2021-11-05T16:15:00,,Outbound,Discovery,Completed,3,0.42,91,15,True
11,49,1,2024-09-11T17:45:00,32,Inbound,Discovery,Completed,2,0.61,240,12,True
12,2343,4,2022-10-11T14:30:00,,Outbound,QBR,Completed,6,0.46,44,23,True
13,3796,10,2023-08-09T15:00:00,40,Inbound,Demo,Rescheduled,1,,,0,False
14,133,4,2024-05-20T09:15:00,36,Outbound,Check-In,Completed,5,0.55,206,12,True
15,3349,16,2024-03-22T15:00:00,45,Outbound,Discovery,Rescheduled,1,,,0,False
16,3634,16,2024-12-29T13:30:00,39,Outbound,Follow-Up,Completed,6,0.57,227,16,False
17,4608,8,2024-12-07T12:15:00,60,Inbound,QBR,Completed,5,0.34,89,20,True
18,3971,7,2024-04-10T10:15:00,34,Outbound,Check-In,Rescheduled,1,,,0,False
19,4872,13,2024-09-15T14:00:00,37,Outbound,Check-In,Completed,8,0.47,213,10,True
20,1419,2,2024-12-26T13:30:00,23,Outbound,Demo,Completed,2,0.32,233,22,True
21,4174,14,2024-02-11T13:00:00,41,Inbound,Negotiation,Rescheduled,1,,,0,False
22,3290,10,2024-06-02T15:45:00,28,Outbound,Negotiation,Completed,5,0.5,89,13,False
23,856,6,2024-08-19T14:15:00,56,Inbound,Check-In,Completed,8,0.43,169,9,False
24,2725,13,2024-12-27T13:15:00,57,Inbound,Follow-Up,Completed,2,1.31,102,13,False
25,168,8,2024-10-18T13:30:00,0,Outbound,QBR,No Show,1,,,0,False
26,4253,15,2022-08-24T08:15:00,42,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
27,4255,5,2024-08-07T13:00:00,15,Outbound,Demo,Completed,8,0.66,37,3,False
28,1856,7,2024-12-13T12:45:00,16,Inbound,Follow-Up,Completed,5,0.68,202,6,False
29,3015,10,2024-04-21T09:45:00,58,Outbound,Negotiation,Completed,2,0.62,74,7,False
30,4497,8,2024-08-18T11:30:00,34,Inbound,Follow-Up,Completed,7,0.34,50,22,False
31,955,7,2024-01-05T17:45:00,28,Inbound,Technical Deep Dive,Completed,8,0.44,204,5,True
32,2096,11,2024-12-17T09:00:00,20,Outbound,Demo,Completed,6,0.62,136,11,False
33,2288,4,2023-10-02T13:15:00,39,Outbound,Demo,Completed,6,0.77,58,14,False
34,280,8,2024-07-26T12:30:00,25,Outbound,Technical Deep Dive,Completed,5,0.45,209,8,False
35,1900,16,2024-12-12T13:15:00,53,Outbound,Demo,Completed,2,0.74,113,9,False
36,2389,1,2024-12-14T14:45:00,48,Inbound,Negotiation,Completed,4,0.36,172,18,True
37,547,10,2024-10-04T16:00:00,37,Inbound,Follow-Up,Completed,3,0.39,111,14,True
38,2199,3,2022-04-06T13:30:00,18,Outbound,Follow-Up,Completed,7,1.48,104,24,True
39,3769,8,2024-12-15T16:00:00,25,Outbound,Discovery,Rescheduled,1,,,0,False
40,2728,12,2024-09-16T12:00:00,2,Inbound,Check-In,Voicemail,1,,,0,False
41,1434,8,2024-12-12T13:45:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
42,1124,2,2024-10-11T11:15:00,45,Outbound,Check-In,Completed,6,0.49,111,20,False
43,3644,3,2024-12-12T13:00:00,55,Outbound,Discovery,Completed,2,0.39,171,14,True
44,1683,11,2021-04-02T17:30:00,24,Inbound,Follow-Up,Completed,8,0.53,141,18,True
45,1257,4,2023-03-04T12:15:00,57,Outbound,Check-In,Completed,8,0.37,79,8,True
46,118,9,2023-12-13T10:00:00,,Inbound,Discovery,Rescheduled,1,,,0,False
47,3820,7,2023-06-14T10:00:00,46,Outbound,Technical Deep Dive,Completed,8,0.38,115,4,True
48,3641,10,2024-12-05T12:15:00,54,Outbound,Technical Deep Dive,Completed,5,0.43,114,13,False
49,4299,4,2024-12-19T14:30:00,15,Outbound,Negotiation,Completed,5,0.68,47,13,False
50,1023,9,2024-11-02T15:15:00,0,Outbound,Check-In,No Show,1,,,0,False
51,257,13,2022-07-25T14:30:00,50,Outbound,Negotiation,Completed,6,0.85,279,1,False
52,2170,8,2024-12-04T15:30:00,22,Inbound,QBR,Completed,4,0.46,101,17,False
53,2802,7,2024-07-04T14:45:00,46,Outbound,Technical Deep Dive,Completed,6,0.63,121,17,True
54,3864,4,2024-01-14T12:45:00,54,Outbound,Follow-Up,Completed,8,0.7,129,9,False
55,787,1,2022-03-02T15:15:00,25,Outbound,Technical Deep Dive,Completed,3,0.46,217,24,True
56,3635,15,2024-12-27T13:30:00,0,Outbound,Discovery,No Show,1,,,0,False
57,638,10,2022-04-21T10:45:00,34,Inbound,Demo,Completed,8,0.67,36,14,True
58,2650,2,2023-12-31T15:30:00,,Outbound,Technical Deep Dive,Completed,6,0.76,65,8,False
59,17,9,2022-04-12T15:45:00,17,Inbound,Check-In,Completed,4,0.64,173,3,False
60,3114,1,2024-07-26T13:30:00,26,Inbound,Negotiation,Completed,7,0.58,206,7,False
61,2778,4,2023-03-26T10:45:00,50,Outbound,Technical Deep Dive,Completed,4,1.17,115,20,False
62,440,11,2022-12-13T14:00:00,31,Outbound,Check-In,Completed,8,0.65,30,9,True
63,1736,10,2024-12-16T17:00:00,57,Outbound,Demo,Completed,3,0.45,176,10,True
64,1913,5,2024-12-06T14:00:00,1,Outbound,Discovery,Voicemail,1,,,0,False
65,1330,9,2024-08-27T10:45:00,35,Outbound,Check-In,Completed,8,0.39,226,17,False
