campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
1,Partner - Event Promotion - Q1 2020,Partner,Event Promotion,Completed,,2020-01-05,2020-03-29,2020-01-02T00:00:00
2,FY2024 Product Launch - Paid Social,Paid Social,Product Launch,Completed,38819,2024-11-23,2025-03-06,2024-11-14T00:00:00
3,Event - Event Promotion - Q1 2024,Event,Event Promotion,Completed,96150,2024-02-01,2024-02-11,2024-01-24T00:00:00
4,Email - Brand Awareness - Q1 2021,Email,Brand Awareness,Draft,4182,2021-01-01,2021-01-19,2020-12-28T00:00:00
5,Event - Thought Leadership - Q4 2023,Event,Thought Leadership,Completed,15503,2023-10-09,2023-10-26,2023-10-08T00:00:00
6,FY2024 Demand Gen - Organic Search,Organic Search,Demand Gen,Completed,1156,2024-12-13,2025-03-10,2024-12-04T00:00:00
7,Brand Awareness Campaign - Paid Search,Paid Search,Brand Awareness,Completed,50603,2023-10-13,2023-11-03,2023-10-11T00:00:00
8,Partner - Thought Leadership - Q4 2024,Partner,Thought Leadership,Completed,1470,2024-10-16,2025-01-30,2024-10-04T00:00:00
9,Event - Event Promotion - Q4 2020,Event,Event Promotion,Completed,128243,2020-10-06,2020-11-22,2020-09-30T00:00:00
10,Direct Mail - Event Promotion - Q1 2023,Direct Mail,Event Promotion,Active,34238,2023-01-16,2023-05-16,2023-01-08T00:00:00
11,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Draft,2264,2022-04-26,2022-05-23,2022-04-22T00:00:00
12,Event - Event Promotion - Q2 2022,,Event Promotion,Completed,181723,2022-06-20,2022-09-12,2022-06-12T00:00:00
13,ABM Campaign - Organic Search,Organic Search,ABM,Completed,4276,2023-05-30,2023-06-29,2023-05-16T00:00:00
14,FY2020 Demand Gen - Event,Event,Demand Gen,Draft,111662,2020-06-09,2020-08-28,2020-05-26T00:00:00
15,Nurture Campaign - Organic Search,Organic Search,Nurture,Active,2758,2024-10-02,2024-12-31,2024-10-01T00:00:00
16,FY2023 Brand Awareness - Partner,Partner,Brand Awareness,Paused,8415,2023-11-29,2024-01-05,2023-11-21T00:00:00
17,FY2022 Nurture - Direct Mail,Direct Mail,Nurture,Active,4428,2022-06-28,2022-10-06,2022-06-25T00:00:00
18,FY2024 Product Launch - Webinar,Webinar,Product Launch,Active,30553,2024-03-06,2024-04-20,2024-02-22T00:00:00
19,Brand Awareness Campaign - Direct Mail,Direct Mail,Brand Awareness,Completed,-23365,2024-01-21,2024-02-17,2024-01-20T00:00:00
20,FY2021 Nurture - Referral,Referral,Nurture,Completed,4115,2021-11-26,2021-12-21,2021-11-24T00:00:00
21,Thought Leadership Campaign - Email,Email,Thought Leadership,Active,3638,2022-01-04,2022-01-22,2021-12-22T00:00:00
22,Paid Social - Demand Gen - Q4 2020,Paid Social,Demand Gen,Completed,39431,2020-12-17,2021-01-06,2020-12-03T00:00:00
23,Event Promotion Campaign - Partner,Partner,Event Promotion,Completed,5147,2023-11-03,2024-02-10,2023-10-28T00:00:00
24,Product Launch Campaign - Content Syndication,Content Syndication,Product Launch,Completed,52781,2023-01-30,2023-05-12,2023-01-29T00:00:00
25,Paid Social - Event Promotion - Q4 2022,Paid Social,Event Promotion,Active,8692,2022-11-15,2023-03-05,2022-11-13T00:00:00
26,Thought Leadership Campaign - Referral,Referral,Thought Leadership,Completed,8892,2022-07-16,2022-11-08,2022-07-02T00:00:00
27,Paid Social - Thought Leadership - Q1 2023,Paid Social,Thought Leadership,Completed,34341,2023-01-16,2023-02-24,2023-01-02T00:00:00
28,FY2020 Nurture - Webinar,Webinar,Nurture,Active,26554,2020-04-14,2020-08-07,2020-04-09T00:00:00
29,FY2020 Event Promotion - Webinar,Webinar,Event Promotion,Active,15115,2020-09-12,2020-12-02,2020-08-29T00:00:00
30,Event Promotion Campaign - Event,Event,Event Promotion,Active,174127,2024-03-13,2024-06-09,2024-03-07T00:00:00
31,Webinar - ABM - Q3 2020,Webinar,ABM,Completed,30827,2020-07-18,2020-10-25,2020-07-04T00:00:00
32,FY2022 Thought Leadership - Partner,Partner,Thought Leadership,Completed,1800,2022-07-12,2022-08-05,2022-07-06T00:00:00
33,Event - Brand Awareness - Q4 2020,Event,Brand Awareness,Active,164602,2020-10-08,2021-02-04,2020-09-26T00:00:00
34,Paid Search - Nurture - Q2 2023,Paid Search,Nurture,Completed,71784,2023-05-27,2023-07-16,2023-05-13T00:00:00
35,FY2020 Demand Gen - Paid Search,Paid Search,Demand Gen,Completed,56271,2020-11-23,2021-01-19,2020-11-10T00:00:00
36,Paid Search - ABM - Q4 2020,Paid Search,ABM,Draft,65234,2020-12-29,2021-02-25,2020-12-24T00:00:00
37,Product Launch Campaign - Event,Event,Product Launch,Completed,136032,2022-02-28,2022-04-29,2022-02-25T00:00:00
38,FY2024 Event Promotion - Paid Search,Paid Search,Event Promotion,Active,80481,2024-04-04,2024-06-24,2024-04-02T00:00:00
39,FY2020 Event Promotion - Email,Email,Event Promotion,Active,5684,2020-11-09,2021-01-25,2020-10-29T00:00:00
40,FY2021 Brand Awareness - Partner,Partner,Brand Awareness,Active,18922,2021-09-06,2021-10-30,2021-08-27T00:00:00
41,Organic Search - Demand Gen - Q2 2023,Organic Search,Demand Gen,Completed,4622,2023-04-01,2023-06-06,2023-03-28T00:00:00
42,FY2024 Product Launch - Direct Mail,Direct Mail,Product Launch,Completed,39481,2024-06-12,2024-08-27,2024-06-09T00:00:00
43,Event Promotion Campaign - Direct Mail,Direct Mail,Event Promotion,Completed,31923,2020-03-19,2020-05-19,2020-03-13T00:00:00
44,FY2021 Demand Gen - Event,Event,Demand Gen,Completed,31261,2021-06-10,2021-06-23,2021-06-04T00:00:00
45,Event Promotion Campaign - Email,Email,Event Promotion,Active,5498,2021-05-10,2021-05-19,2021-05-09T00:00:00
46,Organic Search - Nurture - Q3 2024,Organic Search,Nurture,Completed,4010,2024-09-24,2024-10-09,2024-09-14T00:00:00
47,Thought Leadership Campaign - Paid Search,Paid Search,Thought Leadership,Completed,33606,2020-03-15,2020-03-23,2020-03-11T00:00:00
48,FY2022 Event Promotion - Webinar,Webinar,Event Promotion,Completed,8331,2022-04-11,2022-05-06,2022-04-01T00:00:00
49,Partner - Thought Leadership - Q2 2023,Partner,Thought Leadership,Active,10744,2023-04-08,2023-06-12,2023-04-02T00:00:00
50,Partner - Product Launch - Q3 2024,Partner,Product Launch,Completed,19625,2024-09-04,2024-10-19,2024-09-02T00:00:00
51,FY2024 Event Promotion - Email,Email,Event Promotion,Completed,6186,2024-05-24,2024-08-23,2024-05-19T00:00:00
52,Email - Thought Leadership - Q4 2020,Email,Thought Leadership,Completed,5296,2020-10-18,2020-12-24,2020-10-15T00:00:00
53,Direct Mail - Demand Gen - Q4 2023,Direct Mail,Demand Gen,Draft,33471,2023-11-29,2024-01-28,2023-11-26T00:00:00
54,FY2023 Thought Leadership - Content Syndication,Content Syndication,Thought Leadership,Completed,,2023-02-19,2023-06-18,2023-02-13T00:00:00
55,Thought Leadership Campaign - Paid Search,Paid Search,Thought Leadership,Active,42090,2022-01-03,2022-01-20,2022-01-02T00:00:00
56,FY2021 Thought Leadership - Webinar,Webinar,Thought Leadership,Active,,2021-05-29,2021-08-27,2021-05-23T00:00:00
57,FY2021 Brand Awareness - Referral,Referral,Brand Awareness,Completed,1338,2021-04-21,2021-05-31,2021-04-18T00:00:00
58,Direct Mail - Demand Gen - Q4 2022,Direct Mail,Demand Gen,Active,25994,2022-12-07,2023-03-03,2022-12-05T00:00:00
59,Event Promotion Campaign - Referral,Referral,Event Promotion,Completed,,2022-10-16,2022-11-27,2022-10-12T00:00:00
60,Thought Leadership Campaign - Email,Email,Thought Leadership,Completed,4935,2021-03-04,2021-03-13,2021-02-22T00:00:00
61,FY2023 ABM - Paid Search,Paid Search,ABM,Completed,-19851,2023-05-11,2023-08-05,2023-04-27T00:00:00
62,FY2021 Event Promotion - Event,Event,Event Promotion,Completed,87402,2021-01-28,2021-05-21,2021-01-26T00:00:00
63,Paid Social - Product Launch - Q1 2022,Paid Social,Product Launch,Completed,57407,2022-03-31,2022-06-19,2022-03-17T00:00:00
64,Organic Search - Product Launch - Q2 2022,Organic Search,Product Launch,Active,3909,2022-06-30,2022-09-17,2022-06-22T00:00:00
65,FY2022 Thought Leadership - Paid Search,Paid Search,Thought Leadership,Active,94028,2022-09-03,2022-12-29,2022-09-01T00:00:00
66,Thought Leadership Campaign - Organic Search,Organic Search,Thought Leadership,Draft,1977,2023-04-09,2023-05-18,2023-04-03T00:00:00
67,Demand Gen Campaign - Paid Social,Paid Social,Demand Gen,Completed,84305,2022-03-04,2022-03-16,2022-02-21T00:00:00
68,Referral - Product Launch - Q4 2024,Referral,Product Launch,Active,1844,2024-12-26,2025-02-01,2024-12-15T00:00:00
69,FY2020 Product Launch - Event,Event,Product Launch,Paused,,2020-07-12,2020-11-01,2020-06-29T00:00:00
70,Paid Social - Event Promotion - Q1 2024,Paid Social,Event Promotion,Completed,72615,2024-01-11,2024-04-01,2024-01-05T00:00:00
71,Paid Search - Product Launch - Q2 2021,Paid Search,Product Launch,Completed,32459,2021-04-21,2021-06-04,2021-04-09T00:00:00
72,Partner - Event Promotion - Q2 2024,Partner,Event Promotion,Completed,17894,2024-05-14,2024-08-10,2024-05-05T00:00:00
73,Paid Search - Demand Gen - Q2 2021,Paid Search,Demand Gen,Paused,70619,2021-06-18,2021-10-10,2021-06-10T00:00:00
74,Event Promotion Campaign - Partner,Partner,Event Promotion,Draft,5997,2023-03-18,2023-05-29,2023-03-11T00:00:00
75,ABM Campaign - Partner,Partner,ABM,Completed,17943,2023-08-15,2023-11-05,2023-08-02T00:00:00
76,Nurture Campaign - Event,Event,Nurture,Completed,164666,2021-03-06,2021-06-03,2021-03-05T00:00:00
77,ABM Campaign - Partner,Partner,ABM,Paused,19641,2020-02-02,2020-05-24,2020-01-31T00:00:00
78,Direct Mail - Event Promotion - Q3 2020,Direct Mail,Event Promotion,Draft,4732,2020-08-26,2020-12-19,2020-08-22T00:00:00
