contact_role_id,contact_id,opp_id,role,is_primary
1,1068,1,End User,False
2,136,1,Technical Evaluator,False
3,1496,2,Champion,True
4,1741,3,Coach,False
5,2784,4,End User,False
6,834,5,Economic Buyer,True
7,2104,5,Champion,True
8,871,6,Economic Buyer,True
9,84,6,Technical Evaluator,False
10,2786,6,Champion,True
11,2079,7,End User,False
12,2227,7,Economic Buyer,True
13,1733,8,Economic Buyer,True
14,1757,9,Technical Evaluator,False
15,1191,10,End User,False
16,2182,10,Economic Buyer,True
17,2246,11,End User,False
18,2004,11,Economic Buyer,True
19,2610,12,Economic Buyer,True
20,209,13,Legal Reviewer,False
21,2438,14,Legal Reviewer,False
22,232,14,Champion,True
23,1980,14,End User,False
24,241,14,Blocker,False
25,2840,15,Technical Evaluator,False
26,561,15,Executive Sponsor,True
27,2618,16,End User,False
28,2406,16,Champion,True
29,2879,17,Technical Evaluator,False
30,1536,18,Legal Reviewer,False
31,2146,18,Economic Buyer,True
32,1003,19,End User,False
33,1626,20,Economic Buyer,True
34,97,21,Executive Sponsor,True
35,297,22,Coach,False
36,1723,23,Champion,True
37,605,24,End User,False
38,656,24,Economic Buyer,True
39,525,24,Technical Evaluator,False
40,1582,25,Coach,False
41,1085,26,Economic Buyer,True
42,2273,27,Champion,True
43,887,28,End User,False
44,1897,1,End User,False
45,374,1,Legal Reviewer,False
46,903,1,Executive Sponsor,True
47,645,31,Technical Evaluator,False
48,1865,31,Blocker,False
49,96,32,Technical Evaluator,False
50,1516,32,Champion,True
51,1795,33,End User,False
52,2844,33,Technical Evaluator,False
53,1960,34,End User,False
54,439,34,Technical Evaluator,False
55,2051,35,Economic Buyer,True
56,2864,36,Technical Evaluator,False
57,2847,37,Champion,True
58,2538,37,End User,False
59,1950,38,Champion,True
60,981,39,Champion,True
61,2879,40,Legal Reviewer,False
62,442,40,Blocker,False
63,2832,40,End User,False
64,1883,41,Economic Buyer,True
65,2216,41,End User,False
66,2105,41,Technical Evaluator,False
67,2710,42,Champion,True
68,2790,43,End User,False
69,1678,44,End User,False
70,1356,45,Technical Evaluator,False
71,2648,46,Champion,True
72,2643,46,Technical Evaluator,False
73,435,47,Technical Evaluator,False
74,2517,48,Champion,True
75,996,48,Technical Evaluator,False
76,1414,49,Champion,True
77,1902,49,Technical Evaluator,False
78,1687,50,Coach,False
79,1842,1,Blocker,False
80,927,1,Champion,True
81,2051,52,Executive Sponsor,True
82,2629,53,End User,False
83,2292,53,Economic Buyer,True
84,812,54,Legal Reviewer,False
85,5,54,Executive Sponsor,True
86,2731,55,Champion,True
87,1230,56,Champion,True
88,962,56,Blocker,False
89,260,56,Economic Buyer,True
90,983,57,Champion,True
91,867,58,Technical Evaluator,False
92,1379,58,Champion,True
93,1056,59,Technical Evaluator,False
94,2598,60,Technical Evaluator,False
95,482,8,Executive Sponsor,True
96,2718,62,Economic Buyer,True
97,756,62,Technical Evaluator,False
98,537,62,End User,False
99,442,63,Blocker,False
100,2879,63,Champion,True
101,2560,64,Coach,False
102,2054,65,Executive Sponsor,True
103,134,65,Economic Buyer,True
104,1709,66,Technical Evaluator,False
105,1182,67,Coach,False
106,1687,68,Technical Evaluator,False
107,998,2,Champion,True
108,463,2,Coach,False
109,2763,70,Economic Buyer,True
110,225,71,Champion,True
111,372,72,Champion,True
112,2116,73,Economic Buyer,True
113,1500,74,Champion,True
114,320,74,Legal Reviewer,False
115,2071,75,Economic Buyer,True
116,1165,76,End User,False
117,1217,77,Executive Sponsor,True
118,186,78,Blocker,False
119,1936,78,Champion,True
120,1937,79,Technical Evaluator,False
121,2194,80,Executive Sponsor,True
122,750,9,End User,False
123,1899,9,Blocker,False
124,2505,82,Blocker,False
125,2309,82,Technical Evaluator,False
126,2966,83,End User,False
127,2653,83,Blocker,False
128,1333,84,Blocker,False
129,139,85,End User,False
130,1767,86,Blocker,False
131,1390,87,Coach,False
132,98,88,Champion,True
133,2177,88,Legal Reviewer,False
134,2941,89,Champion,True
135,768,90,Champion,True
136,2878,91,Champion,True
137,1211,92,Blocker,False
138,1973,93,End User,False
139,1635,94,Technical Evaluator,False
140,973,94,Legal Reviewer,False
141,2835,95,End User,False
142,2572,97,Blocker,False
143,1065,98,End User,False
144,167,99,Executive Sponsor,True
145,2486,99,Champion,True
146,917,99,End User,False
147,754,99,Technical Evaluator,False
148,1682,100,End User,False
149,1661,101,Champion,True
150,2892,101,Technical Evaluator,False
151,2,102,Technical Evaluator,False
152,1482,103,Coach,False
153,153,104,Technical Evaluator,False
154,2271,105,Champion,True
155,1295,106,End User,False
156,1348,107,Champion,True
157,89,108,Technical Evaluator,False
158,2610,108,Blocker,False
159,2223,109,Technical Evaluator,False
160,56,110,Champion,True
161,140,110,Executive Sponsor,True
162,2169,110,Technical Evaluator,False
163,2677,111,End User,False
164,1220,112,Coach,False
165,2712,113,Coach,False
166,1314,114,Champion,True
167,2460,115,Champion,True
168,1907,115,End User,False
169,118,117,Economic Buyer,True
170,2448,118,Economic Buyer,True
171,572,118,Champion,True
172,1689,119,Executive Sponsor,True
173,2991,120,Executive Sponsor,True
174,857,120,Champion,True
175,1469,121,Champion,True
176,789,121,Executive Sponsor,True
177,1160,122,End User,False
178,1056,122,Technical Evaluator,False
179,2735,123,Legal Reviewer,False
180,2009,123,Champion,True
181,1581,123,End User,False
182,2724,124,Champion,True
183,1814,125,End User,False
184,2713,126,Technical Evaluator,False
185,2235,126,Champion,True
186,2148,126,Economic Buyer,True
187,2373,127,Champion,True
188,2947,128,Technical Evaluator,False
