activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
1,7545,182,Content Download,2021-02-09T04:07:00,
2,2207,17,Form Fill,2022-08-10T07:44:00,referral
3,7262,11,Webinar Registration,2022-05-15T20:36:00,
4,7902,117,Email Click,2020-10-13T01:53:00,
5,3892,18,Page Visit,2024-04-18T18:47:00,google
6,6337,125,Unsubscribe,2024-12-06T00:00:00,
7,1552,57,Email Open,2021-05-03T15:25:00,
8,4035,37,Content Download,2022-04-06T05:41:00,
9,6628,51,Email Open,2024-06-12T23:08:00,
10,2755,146,,2023-11-26T22:41:00,
11,528,28,Email Open,2020-04-19T02:14:00,
12,7985,102,Webinar Attended,2023-03-09T14:21:00,
13,4765,16,Email Open,2023-12-23T20:01:00,
14,5629,181,Ad Click,2021-12-26T03:36:00,
15,7998,123,Form Fill,2020-04-30T01:37:00,referral
16,7024,178,Webinar Registration,2021-05-22T10:42:00,
17,5592,4,Email Click,2021-01-18T02:29:00,
18,1200,14,Ad Click,2020-08-14T08:56:00,google
19,3852,109,Content Download,2020-01-26T04:42:00,
20,5223,63,Page Visit,2022-05-31T00:53:00,facebook
21,4895,86,Content Download,2021-09-18T11:01:00,
22,5242,28,Email Open,2030-03-15T14:30:00,
23,7944,90,Content Download,2020-10-05T04:48:00,
24,5236,116,Unsubscribe,2024-01-30T06:43:00,
25,731,37,Email Open,2022-03-05T05:36:00,
26,4468,67,Content Download,2022-03-12T04:12:00,
27,7244,108,Email Open,2023-11-11T04:57:00,
28,6067,42,Form Fill,2024-08-11T04:31:00,direct
29,2090,40,Page Visit,2021-10-03T13:31:00,direct
30,4263,178,Email Click,2021-05-22T04:13:00,
31,6396,144,Webinar Attended,2030-03-15T14:30:00,
32,6919,177,Content Download,2020-06-11T04:54:00,
33,1533,165,Form Fill,2021-02-09T16:41:00,facebook
34,4785,134,Form Fill,2021-01-22T15:34:00,referral
35,775,170,Email Click,2022-11-28T22:28:00,
36,1144,1,Email Open,2020-01-13T18:09:00,
37,7390,172,Form Fill,2020-11-01T19:23:00,facebook
38,3484,76,Email Click,2021-04-14T10:23:00,
39,2735,98,Email Click,2023-07-19T13:32:00,
40,7314,128,Email Open,2020-10-23T17:27:00,
41,5605,94,Form Fill,2020-10-17T00:17:00,referral
42,4413,191,Email Click,2023-04-12T09:15:00,
43,3670,,Webinar Registration,2020-10-17T16:59:00,
44,5180,,Form Fill,2024-12-20T00:00:00,facebook
45,7173,179,Email Open,2020-05-16T12:32:00,
46,3655,51,Ad Click,2024-08-08T20:49:00,facebook
47,5047,17,Form Fill,2022-07-09T05:53:00,google
48,3254,7,Content Download,2023-10-19T07:36:00,
49,3134,64,Content Download,2022-08-25T01:24:00,
50,6473,50,Content Download,2024-09-18T17:22:00,
51,2482,97,Email Click,2021-08-02T07:48:00,
52,7928,181,Page Visit,2021-12-31T06:39:00,
53,6184,96,Email Click,2021-12-08T05:41:00,
54,3571,7,Webinar Registration,2023-11-03T05:56:00,
55,2223,25,Page Visit,2023-01-26T08:46:00,linkedin
56,4187,95,Page Visit,2020-02-03T05:21:00,
57,4518,167,Email Open,2020-08-24T23:36:00,
58,2898,146,Email Open,2024-01-15T20:14:00,
59,3123,45,,2021-05-14T09:19:00,
60,1701,130,Email Open,2021-05-13T14:03:00,
61,709,5,Unsubscribe,2023-10-12T06:53:00,
62,7731,27,Webinar Attended,2023-02-04T20:18:00,
63,391,,Content Download,2020-10-24T19:08:00,
64,256,,Page Visit,2024-03-13T09:47:00,linkedin
65,7680,137,Page Visit,2023-07-05T00:19:00,twitter
66,67,,Email Open,2024-09-16T21:52:00,
67,3129,125,Email Open,2024-12-05T00:00:00,
68,5184,71,Form Fill,2021-05-02T19:25:00,facebook
69,2171,160,Content Download,2021-01-16T12:32:00,
70,2547,139,Content Download,2020-10-15T00:19:00,
71,2168,196,Email Open,2024-06-19T03:20:00,
72,6656,183,Ad Click,2020-11-08T22:00:00,
73,2749,157,Webinar Registration,2020-08-22T23:06:00,
74,7842,189,Webinar Registration,2024-12-03T11:29:00,
75,5013,116,Email Open,2024-02-03T19:00:00,
76,3265,83,Content Download,2024-07-10T22:18:00,
77,6008,173,Email Click,2023-06-29T05:52:00,
78,7634,135,Webinar Registration,2024-10-18T09:49:00,
79,6564,156,Page Visit,2024-04-12T18:12:00,google
80,1175,,Email Open,2024-02-09T13:49:00,
81,4493,83,Email Open,2024-07-08T18:16:00,
82,7004,18,Webinar Registration,2024-04-09T11:51:00,
83,678,65,Email Click,2022-09-26T21:54:00,
84,6803,43,Content Download,2020-04-18T04:11:00,
85,7747,99,Page Visit,2022-12-13T07:18:00,facebook
86,1143,196,Email Click,2024-04-21T21:41:00,
87,2740,146,Ad Click,2024-01-02T06:07:00,linkedin
88,270,75,Form Fill,2023-10-29T02:29:00,linkedin
89,3214,161,Form Fill,2023-03-23T04:50:00,direct
90,7526,19,Unsubscribe,2024-01-21T00:40:00,
91,2684,143,Content Download,2020-05-07T07:15:00,
92,7502,69,Ad Click,2020-08-25T00:32:00,linkedin
93,4738,134,Page Visit,2020-12-13T00:00:00,google
94,2380,41,Page Visit,2023-04-25T06:57:00,referral
95,1458,44,Page Visit,2021-06-23T23:30:00,google
96,5557,87,Form Fill,2021-03-30T13:32:00,facebook
97,2154,147,Page Visit,2022-06-24T20:51:00,facebook
98,1511,54,Webinar Registration,2023-04-14T22:18:00,
99,3374,178,Content Download,2021-06-02T11:53:00,
100,6266,194,Form Fill,2023-08-20T08:40:00,
101,3034,63,Email Open,2022-06-16T02:09:00,
102,240,71,Email Open,2021-05-19T16:17:00,
103,5010,119,Form Fill,2023-06-26T11:26:00,direct
104,5626,130,,2021-06-25T23:33:00,linkedin
105,4690,160,Email Click,2021-01-11T04:59:00,
106,4618,184,Email Open,2021-03-31T21:44:00,
107,2251,107,Email Open,2021-09-25T02:24:00,
108,5964,106,Content Download,2023-12-14T09:31:00,
109,3842,121,Email Open,2020-06-11T09:04:00,
110,5763,35,Content Download,2020-12-11T15:35:00,
111,4733,84,Webinar Attended,2021-07-11T15:34:00,
112,4494,110,Content Download,2023-01-30T17:37:00,
113,7584,42,Email Bounce,2024-08-24T23:53:00,
114,7241,192,Page Visit,2024-09-23T05:13:00,twitter
115,4505,162,Email Click,2024-03-20T00:58:00,
116,3210,1,Content Download,2020-02-08T15:09:00,
117,4243,182,Form Fill,2021-01-30T00:45:00,facebook
