opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
1,140,7,Nova Services - New Business,Qualification,16386,2025-04-04,2024-12-20,,Best Case,False,False,CompetitorD,,4,Executive alignment,New Business,2024-12-20T00:00:00
2,142,15,Velocity Enterprises - Initial License,Discovery,13194,2025-09-21,2024-12-31,Event,Pipeline,False,False,,,16,Reference call,New Business,2024-12-31T00:00:00
3,247,16,Acme Enterprises - New Business,Prospecting,25162,2025-03-17,2024-09-06,Product-Led,Pipeline,False,False,CompetitorC,,63,Legal review,New Business,2024-09-06T00:00:00
4,750,2,Vanguard Systems - Initial License,Closed Lost,10035,2024-09-06,2024-05-07,Partner Referral,Omitted,False,True,,Lost to Status Quo,21,,New Business,2024-05-07T00:00:00
5,139,11,Optima Partners - New Business,Proposal,43348,2025-06-07,2024-12-21,,Best Case,False,False,CompetitorD,,8,Legal review,New Business,2024-12-21T00:00:00
6,591,10,Zenith Systems - Platform Deal,Closed Won,30940,2024-12-31,2024-12-07,Inbound - Content,Closed,True,True,,,49,,New Business,2024-12-07T00:00:00
7,390,1,Quantum Group - New Business,Proposal,73407,2024-05-30,2024-01-26,Product-Led,Best Case,False,False,CompetitorB,,20,Executive alignment,New Business,2024-01-26T00:00:00
8,921,14,Global Labs - Platform Deal,Qualification,28644,2025-03-28,2024-10-27,Product-Led,Best Case,False,False,CompetitorE,,21,,New Business,2024-10-27T00:00:00
9,474,7,Elevate Partners - New Business,Discovery,532853,2021-06-29,2020-12-05,Inbound - Web,Pipeline,False,False,CompetitorD,,29,Technical review,New Business,2020-12-05T00:00:00
10,278,8,Optima Dynamics - Platform Deal,Closed Lost,30390,2022-12-26,2022-09-23,Partner Referral,Omitted,False,True,CompetitorB,Champion Left,21,,New Business,2022-09-23T00:00:00
11,974,2,Zenith Digital - New Business,Discovery,78151,2024-03-21,2023-12-28,Partner Referral,Pipeline,False,False,,,19,,New Business,2023-12-28T00:00:00
12,874,6,Atlas Group - Platform Deal,Closed Lost,36221,2023-10-14,2023-11-10,Inbound - Web,Omitted,False,True,CompetitorA,Champion Left,38,,New Business,2023-11-10T00:00:00
13,523,14,Atlas Platforms - New Business,Prospecting,85155,2025-04-08,2024-11-13,Event,Pipeline,False,False,CompetitorA,,62,POC setup,New Business,2024-11-13T00:00:00
14,655,4,Zenith Analytics - New Business,Negotiation,53847,2025-05-06,2024-12-21,Product-Led,Commit,False,False,,,20,Legal review,New Business,2024-12-21T00:00:00
