event_id,product_user_id,account_id,feature,action,event_timestamp
1,81,654,Dashboard Builder,view,2024-07-26T07:20:44
2,645,146,Analytics,edit,2024-09-20T13:29:53
3,654,107,Analytics,view,2023-02-10T14:01:40
4,651,179,Workflow Automation,edit,2023-08-04T09:39:01
5,1423,844,Analytics,view,2025-01-04T14:47:21
6,1588,491,Dashboard Builder,share,2025-02-06T15:51:28
7,1239,922,Dashboard Builder,view,2024-07-10T09:17:12
8,1765,421,Data Export,view,2024-12-27T07:46:03
9,549,873,Reports,view,2022-04-13T18:32:07
10,1246,661,Alerts,edit,2023-11-28T10:32:41
11,260,219,API,edit,2024-03-07T07:01:32
12,1961,388,Dashboard Builder,view,2025-02-06T08:13:25
13,1784,281,Custom Fields,edit,2024-12-06T19:59:39
14,101,191,Analytics,view,2024-11-22T06:22:37
15,781,694,Dashboard Builder,create,2024-10-11T01:35:26
16,1476,900,Analytics,create,2024-08-29T16:36:54
17,176,219,Workflow Automation,view,2025-01-28T08:40:01
18,1888,462,Integrations,view,2024-05-31T18:00:04
19,88,406,Reports,create,2024-12-06T11:04:52
20,374,808,Reports,view,2023-08-04T14:37:01
21,275,635,Reports,view,2024-09-27T11:25:20
22,752,887,Reports,view,2025-02-12T13:23:38
23,672,661,Dashboard Builder,edit,2023-05-05T07:35:16
24,67,724,Integrations,delete,2025-01-04T15:28:37
25,1432,501,API,share,2024-09-30T10:14:44
26,857,227,Reports,view,2023-07-25T15:37:33
27,832,335,Custom Fields,delete,2025-01-16T07:45:16
28,530,216,Reports,edit,2024-11-22T10:53:03
29,1251,583,Dashboard Builder,view,2022-10-06T06:22:21
30,155,938,Integrations,view,2024-01-04T09:37:07
31,1982,475,Reports,view,2024-10-27T09:19:55
32,716,679,Analytics,view,2023-03-07T08:06:51
33,596,187,Analytics,view,2024-02-06T08:14:05
34,1503,564,Alerts,view,2025-01-16T14:01:23
35,333,82,Workflow Automation,share,2024-01-02T07:05:36
36,494,154,API,share,2025-01-11T14:07:30
37,264,830,Workflow Automation,share,2024-08-21T07:25:24
38,1934,233,Dashboard Builder,delete,2025-02-09T19:45:26
39,887,960,Analytics,share,2024-11-19T07:34:03
40,940,664,Dashboard Builder,view,2024-02-16T18:27:59
41,607,786,Reports,view,2025-02-19T17:38:30
42,778,759,Analytics,view,2024-12-25T07:56:03
43,1747,957,Reports,share,2024-11-25T17:44:18
44,214,134,Reports,create,2023-09-18T14:20:08
45,507,34,User Management,share,2024-04-10T06:15:17
46,317,901,Reports,view,2024-08-05T08:02:58
47,803,621,Data Export,create,2024-10-04T09:16:58
48,467,867,Analytics,view,2024-07-12T16:44:03
49,795,518,Reports,create,2023-10-24T15:51:55
50,1359,977,Analytics,view,2024-12-23T19:37:57
51,1157,242,Reports,view,2025-02-21T07:01:02
52,1340,667,Dashboard Builder,edit,2025-01-24T14:21:55
53,107,631,Data Export,view,2025-02-17T12:24:45
54,377,301,Dashboard Builder,edit,2024-08-20T05:39:21
55,458,631,Custom Fields,share,2024-05-30T10:44:19
56,800,62,Alerts,view,2030-03-15T10:00:00
57,750,67,Analytics,view,2023-05-09T09:19:46
58,340,243,Custom Fields,edit,2023-11-14T19:48:21
59,1856,141,Custom Fields,view,2024-12-05T11:48:09
