stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
1,1,Prospecting,2024-12-20T00:00:00,2025-01-04T00:00:00,15
2,1,Discovery,2025-01-04T00:00:00,2025-01-16T00:00:00,12
3,1,Qualification,2025-01-16T00:00:00,,
4,2,Prospecting,2024-12-31T00:00:00,2025-01-12T00:00:00,12
5,2,Discovery,2025-01-12T00:00:00,,
6,3,Prospecting,2024-09-06T00:00:00,,
7,4,Prospecting,2024-05-07T00:00:00,2024-05-27T00:00:00,20
8,4,Discovery,2024-05-27T00:00:00,2024-06-18T00:00:00,22
9,4,Qualification,2024-06-18T00:00:00,2024-06-26T00:00:00,8
10,4,Proposal,2024-06-26T00:00:00,2024-07-15T00:00:00,19
11,4,Negotiation,2024-07-15T00:00:00,2024-08-13T00:00:00,29
12,4,Closed Won,2024-08-13T00:00:00,2024-09-03T00:00:00,21
13,4,Closed Lost,2024-09-03T00:00:00,2024-09-03T00:00:00,0
14,5,Prospecting,2024-12-21T00:00:00,2025-01-01T00:00:00,11
15,5,Discovery,2025-01-01T00:00:00,2025-01-22T00:00:00,21
16,5,Qualification,2025-01-22T00:00:00,2025-02-05T00:00:00,14
17,5,Proposal,2025-02-05T00:00:00,,
18,6,Prospecting,2024-12-07T00:00:00,2024-12-08T00:00:00,1
19,6,Discovery,2024-12-08T00:00:00,2024-12-15T00:00:00,7
20,6,Qualification,2024-12-15T00:00:00,2024-12-18T00:00:00,3
21,6,Proposal,2024-12-18T00:00:00,2024-12-23T00:00:00,5
22,6,Negotiation,2024-12-23T00:00:00,2024-12-28T00:00:00,5
23,6,Closed Won,2024-12-28T00:00:00,2024-12-28T00:00:00,0
24,7,Prospecting,2024-01-26T00:00:00,2024-02-11T00:00:00,16
25,7,Discovery,2024-02-11T00:00:00,2024-03-04T00:00:00,22
26,7,Qualification,2024-03-04T00:00:00,2024-03-14T00:00:00,10
27,7,Proposal,2024-03-14T00:00:00,,
28,8,Prospecting,2024-10-27T00:00:00,2024-11-13T00:00:00,17
29,8,Discovery,2024-11-13T00:00:00,2024-12-05T00:00:00,22
30,8,Qualification,2024-12-05T00:00:00,,
31,9,Prospecting,2020-12-05T00:00:00,2020-12-10T00:00:00,5
32,9,Discovery,2020-12-10T00:00:00,,
33,10,Prospecting,2022-09-23T00:00:00,2022-10-02T00:00:00,9
34,10,Discovery,2022-10-02T00:00:00,2022-10-11T00:00:00,9
35,10,Qualification,2022-10-11T00:00:00,2022-11-03T00:00:00,23
36,10,Proposal,2022-11-03T00:00:00,2022-11-08T00:00:00,5
37,10,Negotiation,2022-11-08T00:00:00,2022-12-12T00:00:00,34
38,10,Closed Won,2022-12-12T00:00:00,2022-12-22T00:00:00,10
39,10,Closed Lost,2022-12-22T00:00:00,2022-12-22T00:00:00,0
40,11,Prospecting,2023-12-28T00:00:00,2024-01-12T00:00:00,15
41,11,Discovery,2024-01-12T00:00:00,,
42,12,Prospecting,2023-11-10T00:00:00,2023-11-27T00:00:00,17
43,12,Discovery,2023-11-27T00:00:00,2023-12-23T00:00:00,26
44,12,Qualification,2023-12-23T00:00:00,2023-12-29T00:00:00,6
45,12,Proposal,2023-12-29T00:00:00,2024-01-11T00:00:00,13
46,12,Negotiation,2024-01-11T00:00:00,2024-01-24T00:00:00,13
47,12,Closed Won,2024-01-24T00:00:00,2024-02-04T00:00:00,11
48,12,Closed Lost,2024-02-04T00:00:00,2024-02-04T00:00:00,0
49,13,Prospecting,2024-11-13T00:00:00,,
50,14,Prospecting,2024-12-21T00:00:00,2025-01-05T00:00:00,15
51,14,Discovery,2025-01-05T00:00:00,2025-01-14T00:00:00,9
52,14,Qualification,2025-01-14T00:00:00,2025-02-04T00:00:00,21
53,14,Proposal,2025-02-04T00:00:00,2025-02-17T00:00:00,13
54,14,Negotiation,2025-02-17T00:00:00,,
55,15,Prospecting,2024-08-12T00:00:00,2024-08-28T00:00:00,16
56,15,Discovery,2024-08-28T00:00:00,2024-09-17T00:00:00,20
57,15,Qualification,2024-09-17T00:00:00,,
58,16,Prospecting,2024-03-25T00:00:00,2024-04-02T00:00:00,8
59,16,Discovery,2024-04-02T00:00:00,2024-04-22T00:00:00,20
60,16,Qualification,2024-04-22T00:00:00,,
61,17,Prospecting,2023-10-04T00:00:00,2023-10-16T00:00:00,12
62,17,Discovery,2023-10-16T00:00:00,,
63,18,Prospecting,2024-06-02T00:00:00,2024-06-09T00:00:00,7
64,18,Discovery,2024-06-09T00:00:00,2024-06-28T00:00:00,19
65,18,Qualification,2024-06-28T00:00:00,2024-07-05T00:00:00,7
66,18,Proposal,2024-07-05T00:00:00,,
67,19,Prospecting,2021-08-16T00:00:00,,
68,20,Prospecting,2024-08-11T00:00:00,2024-08-23T00:00:00,12
69,20,Discovery,2024-08-23T00:00:00,2024-09-05T00:00:00,13
70,20,Qualification,2024-09-05T00:00:00,2024-09-10T00:00:00,5
71,20,Proposal,2024-09-10T00:00:00,2024-09-16T00:00:00,6
72,20,Negotiation,2024-09-16T00:00:00,2024-10-15T00:00:00,29
73,20,Closed Won,2024-10-15T00:00:00,2024-10-24T00:00:00,9
74,20,Closed Lost,2024-10-24T00:00:00,2024-10-24T00:00:00,0
75,21,Prospecting,2023-04-10T00:00:00,2023-04-29T00:00:00,19
76,21,Discovery,2023-04-29T00:00:00,2023-05-17T00:00:00,18
77,21,Qualification,2023-05-17T00:00:00,,
78,22,Prospecting,2024-11-10T00:00:00,2024-12-01T00:00:00,21
79,22,Discovery,2024-12-01T00:00:00,,
80,23,Prospecting,2020-10-06T00:00:00,2020-10-18T00:00:00,12
81,23,Discovery,2020-10-18T00:00:00,2020-11-10T00:00:00,23
82,23,Qualification,2020-11-10T00:00:00,2020-11-19T00:00:00,9
83,23,Proposal,2020-11-19T00:00:00,2020-11-24T00:00:00,5
84,23,Negotiation,2020-11-24T00:00:00,2020-12-16T00:00:00,22
85,23,Closed Won,2020-12-16T00:00:00,2020-12-30T00:00:00,14
86,23,Closed Lost,2020-12-30T00:00:00,2020-12-30T00:00:00,0
87,24,Prospecting,2022-09-02T00:00:00,2022-09-27T00:00:00,25
88,24,Discovery,2022-09-27T00:00:00,2022-11-02T00:00:00,36
89,24,Qualification,2022-11-02T00:00:00,2022-12-23T00:00:00,51
90,24,Proposal,2022-12-23T00:00:00,2023-01-15T00:00:00,23
91,24,Negotiation,2023-01-15T00:00:00,2023-02-07T00:00:00,23
92,24,Closed Won,2023-02-07T00:00:00,2023-02-07T00:00:00,0
93,25,Prospecting,2024-07-01T00:00:00,2024-07-14T00:00:00,13
94,25,Discovery,2024-07-14T00:00:00,2024-09-13T00:00:00,61
95,25,Qualification,2024-09-13T00:00:00,2024-10-27T00:00:00,44
96,25,Proposal,2024-10-27T00:00:00,2024-11-13T00:00:00,17
97,25,Negotiation,2024-11-13T00:00:00,2024-12-02T00:00:00,19
98,25,Closed Won,2024-12-02T00:00:00,2024-12-28T00:00:00,26
99,25,Closed Lost,2024-12-28T00:00:00,2024-12-28T00:00:00,0
100,26,Prospecting,2021-11-14T00:00:00,2021-11-27T00:00:00,13
101,26,Discovery,2021-11-27T00:00:00,2021-12-15T00:00:00,18
102,26,Qualification,2021-12-15T00:00:00,2021-12-27T00:00:00,12
103,26,Proposal,2021-12-27T00:00:00,,
104,27,Prospecting,2024-10-18T00:00:00,2024-10-25T00:00:00,7
105,27,Discovery,2024-10-25T00:00:00,2024-11-01T00:00:00,7
106,27,Qualification,2024-11-01T00:00:00,2024-11-13T00:00:00,12
107,27,Proposal,2024-11-13T00:00:00,2024-11-20T00:00:00,7
108,27,Negotiation,2024-11-20T00:00:00,2024-12-10T00:00:00,20
109,27,Closed Won,2024-12-10T00:00:00,2024-12-28T00:00:00,18
110,27,Closed Lost,2024-12-28T00:00:00,2024-12-28T00:00:00,0
111,28,Prospecting,2024-10-22T00:00:00,2024-10-27T00:00:00,5
112,28,Discovery,2024-10-27T00:00:00,2024-11-10T00:00:00,14
113,28,Qualification,2024-11-10T00:00:00,2024-11-14T00:00:00,4
114,28,Proposal,2024-11-14T00:00:00,2024-11-26T00:00:00,12
115,28,Negotiation,2024-11-26T00:00:00,2024-12-14T00:00:00,18
116,28,Closed Won,2024-12-14T00:00:00,2024-12-27T00:00:00,13
117,28,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
118,29,Prospecting,2024-12-04T00:00:00,2024-12-06T00:00:00,2
119,29,Discovery,2024-12-06T00:00:00,2024-12-12T00:00:00,6
120,29,Qualification,2024-12-12T00:00:00,2024-12-16T00:00:00,4
121,29,Proposal,2024-12-16T00:00:00,2024-12-18T00:00:00,2
122,29,Negotiation,2024-12-18T00:00:00,2024-12-23T00:00:00,5
123,29,Closed Won,2024-12-23T00:00:00,2024-12-27T00:00:00,4
124,29,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
125,1,Prospecting,2024-01-06T00:00:00,,
126,31,Prospecting,2024-12-08T00:00:00,2024-12-23T00:00:00,15
127,31,Discovery,2024-12-23T00:00:00,2025-01-03T00:00:00,11
128,31,Qualification,2025-01-03T00:00:00,2025-01-14T00:00:00,11
129,31,Proposal,2025-01-14T00:00:00,2025-01-24T00:00:00,10
130,31,Negotiation,2025-01-24T00:00:00,,
131,32,Prospecting,2024-10-21T00:00:00,2024-11-08T00:00:00,18
132,32,Discovery,2024-11-08T00:00:00,,
133,33,Prospecting,2022-10-22T00:00:00,2022-11-16T00:00:00,25
134,33,Discovery,2022-11-16T00:00:00,2022-12-08T00:00:00,22
135,33,Qualification,2022-12-08T00:00:00,2023-01-21T00:00:00,44
136,33,Proposal,2023-01-21T00:00:00,2023-02-18T00:00:00,28
